frame_ms,thresh_db,min_speech,min_sil,noise_margin,lat_med,lat_mean,barge_in_rate,overlap_ratio,n_caller,min_valid,mean_priority_r
20,-38,0.3,0.3,18,0.8703340843861971,0.8628117466222819,0.8139095186708085,0.8076228385824573,0.5936841552703818,282,0.7896724687064254
30,-34,0.3,0.2,18,0.8673357919037966,0.8426741632883972,0.6847552743431717,0.6433990196237828,0.2791081099965903,281,0.6634544718311477
30,-34,0.3,0.3,18,0.8672609552139614,0.8437087896765406,0.7323639082439415,0.7160757868955437,0.45688201117990435,282,0.7232582902419783
30,-42,0.3,0.2,12,0.8656361944336348,0.8594835889832414,0.7990787903967173,0.7925668870050346,0.6731235083692092,282,0.7979777938375674
20,-38,0.2,0.1,18,0.8650199166024647,0.8528950813801508,0.737779151010065,0.7333383437967269,0.37651428589613023,281,0.7131093557371075
20,-42,0.1,0.3,12,0.864798473536282,0.8807297117197614,0.879340919203684,0.8512302452775735,0.807192695375529,282,0.8566584090225661
30,-34,0.2,0.25,18,0.8645487600590755,0.8295754122204043,0.7369242119745029,0.720727610805651,0.424390566756167,282,0.7152333123631602
30,-42,0.3,0.1,18,0.8641992622094294,0.8543464609693279,0.7383014958522699,0.7408687067972894,0.4311543954306627,280,0.7257740642517959
20,-42,0.3,0.1,18,0.8640437095969031,0.8445692445116872,0.732443999163911,0.7374959099168027,0.36321473608460225,281,0.7083535198547813
20,-30,0.1,0.3,18,0.8635227158547103,0.832574344117515,0.7862130864458152,0.7264833774293563,0.5465190657390455,282,0.7510625179172884
30,-26,0.1,0.4,6,0.8630992188208814,0.8204628830308699,0.7210390030006726,0.6521306999520915,0.5072998355217283,282,0.7128063280652488
30,-26,0.1,0.4,12,0.8630992188208814,0.8204628830308699,0.7210390030006726,0.6521306999520915,0.5072998355217283,282,0.7128063280652488
20,-42,0.3,0.3,12,0.8630726384286055,0.8693122605926162,0.8397373236698081,0.824543945156862,0.7474534059125304,282,0.8288239147520844
20,-30,0.3,0.4,18,0.8629545987243881,0.8558878563427464,0.7196841144795182,0.7086433853363673,0.5193900947708858,282,0.7333120099307812
20,-34,0.1,0.1,18,0.8628376599983422,0.829112224906463,0.7914002579673218,0.7360404850572932,0.4177317012444252,282,0.727424465834769
30,-38,0.1,0.25,12,0.862633500340205,0.8392415331563494,0.8260326696265782,0.7911296062769918,0.7087670099416162,282,0.805560863868348
30,-38,0.1,0.2,12,0.8621705443411575,0.8395352149678775,0.8227984034395779,0.784585122130697,0.7038722013487719,282,0.8025922972456165
20,-38,0.1,0.4,12,0.8610970533556791,0.8675043749488309,0.8514165794268844,0.8043800802640921,0.7723275776711533,282,0.8313451331333279
30,-34,0.2,0.4,12,0.8604971758419967,0.8571082955591163,0.7564341425214127,0.7081375488426402,0.6955687934452762,282,0.7755491912420884
30,-38,0.3,0.25,18,0.8603984477678144,0.8321456609619745,0.7583712881034066,0.7614989635328628,0.43142523889665846,282,0.7287679198525434
20,-42,0.3,0.1,12,0.860346438196849,0.8361154813125828,0.7514646359472199,0.7642267099528396,0.6375086250305725,282,0.7699323780880128
20,-42,0.1,0.2,12,0.8597269059544074,0.8534398120340977,0.8642639146878764,0.8394001004288497,0.7784188447647576,282,0.8390499155739978
30,-30,0.1,0.4,12,0.8596450078139712,0.8384270904772487,0.7754287023183792,0.6773827892123716,0.6569343901624131,282,0.7615635959968767
30,-30,0.2,0.3,18,0.8596313783558025,0.8355956979435494,0.7235066281138862,0.7007654374928203,0.4330349837883352,282,0.7105068251388788
30,-30,0.2,0.2,18,0.8588381646878243,0.841122462902976,0.694131149440906,0.6406134287997697,0.3105866931298401,281,0.6690583797922631
30,-38,0.2,0.25,12,0.8587098525894253,0.83639535883211,0.7810888222995412,0.7696563367736278,0.6740097372455186,282,0.7839720215480446
30,-38,0.2,0.2,12,0.858693605219005,0.8366148364480559,0.7762565960568317,0.7604705518041542,0.6643653220247973,282,0.7792801823105687
30,-38,0.3,0.1,12,0.8585288942031802,0.83472218364824,0.7195334825032732,0.719402216870205,0.5814595871237559,282,0.7427292728697309
20,-38,0.3,0.2,18,0.8581172814980135,0.8319233707773517,0.7410194052806566,0.7550694539018038,0.4050646628528098,282,0.7182388348621271
20,-34,0.2,0.2,18,0.8577117879579551,0.8244045096954584,0.7273174759630052,0.7224267649107816,0.41891477442663777,282,0.7101550625907677
20,-38,0.3,0.25,18,0.8575725898716103,0.8306765747049218,0.7750650007954676,0.7818940319103499,0.44671899910035556,282,0.7383854392765411
